tag_full_name;description;data_type;direction;ab_type;ab_addr;ab_off;selector;other
KO.KO10.Z4;Задвижка Z4;INT (1 byte);W;ANY;33;8;;, , , , , , Single
KO.KO12.Z3;Задвижка Z3;INT (1 byte);R;ИНР;1;11;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
KO.KO12.Z3;Задвижка Z3;INT (1 byte);W;ANY;44;8;;, , , , , , Single
KO.KO12.Z4;Задвижка Z4;INT (1 byte);R;ИНР;1;11;&h00,3, &h10,2, &h40,1, &h50, 0;, , , , , , 
KO.KO12.Z4;Задвижка Z4;INT (1 byte);W;ANY;45;8;;, , , , , , Single
KO.KO10.Z1;Задвижка Z1;INT (1 byte);R;ИНР;1;16;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
KO.KO10.Z1;Задвижка Z1;INT (1 byte);W;ANY;30;8;;, , , , , , Single
KO.KO10.Z2;Задвижка Z2;INT (1 byte);R;ИНР;1;16;&h00,3, &h10,2, &h40,1, &h50, 0;, , , , , , 
KO.KO10.Z2;Задвижка Z2;INT (1 byte);W;ANY;31;8;;, , , , , , Single
KO.KO12.Z1;Задвижка Z1;INT (1 byte);R;ИНР;1;17;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
KO.KO12.Z1;Задвижка Z1;INT (1 byte);W;ANY;42;8;;, , , , , , Single
KO.KO12.Z2;Задвижка Z2;INT (1 byte);R;ИНР;1;17;&h00,3, &h10,2, &h40,1, &h50, 0;, , , , , , 
KO.KO12.Z2;Задвижка Z2;INT (1 byte);W;ANY;43;8;;, , , , , , Single
KO.KO9.L_Max;Перелив;BOOL (1 bit);R;ИНР;1;24;&h01;, , , , , , 
KO.KO10.L_Max;Перелив;BOOL (1 bit);R;ИНР;1;24;&h02;, , , , , , 
KO.KO11.L_Max;Перелив;BOOL (1 bit);R;ИНР;1;24;&h04;, , , , , , 
KO.KO12.L_Max;Перелив;BOOL (1 bit);R;ИНР;1;24;&h08;, , , , , , 
KO.KO13.L_Max;Перелив;BOOL (1 bit);R;ИНР;1;24;&h10;, , , , , , 
KO.KO14.L_Max;Перелив;BOOL (1 bit);R;ИНР;1;24;&h20;, , , , , , 
KO.KO15.L_Max;Перелив;BOOL (1 bit);R;ИНР;1;24;&h40;, , , , , , 
KO.KO16.L_Max;Перелив;BOOL (1 bit);R;ИНР;1;24;&h80;, , , , , , 
KO.KO13.Z1;Задвижка Z1;INT (1 byte);R;ИНР;1;32;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
KO.KO13.Z1;Задвижка Z1;INT (1 byte);W;ANY;49;8;;, , , , , , Single
KO.KO13.Z2;Задвижка Z2;INT (1 byte);R;ИНР;1;32;&h00,3, &h10,2, &h40,1, &h50, 0;, , , , , , 
KO.KO13.Z2;Задвижка Z2;INT (1 byte);W;ANY;50;8;;, , , , , , Single
KO.KO15.Z1;Задвижка Z1;INT (1 byte);R;ИНР;1;33;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
KO.KO15.Z1;Задвижка Z1;INT (1 byte);W;ANY;61;8;;, , , , , , Single
KO.KO15.Z2;Задвижка Z2;INT (1 byte);R;ИНР;1;33;&h00,3, &h10,2, &h40,1, &h50, 0;, , , , , , 
KO.KO15.Z2;Задвижка Z2;INT (1 byte);W;ANY;62;8;;, , , , , , Single
KO.KO13.Z3;Задвижка Z3;INT (1 byte);R;ИНР;1;34;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
KO.KO13.Z3;Задвижка Z3;INT (1 byte);W;ANY;51;8;;, , , , , , Single
KO.KO13.Z4;Задвижка Z4;INT (1 byte);R;ИНР;1;34;&h00,3, &h10,2, &h40,1, &h50, 0;, , , , , , 
KO.KO13.Z4;Задвижка Z4;INT (1 byte);W;ANY;52;8;;, , , , , , Single
KO.KO15.Z3;Задвижка Z3;INT (1 byte);R;ИНР;1;35;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
KO.KO15.Z3;Задвижка Z3;INT (1 byte);W;ANY;63;8;;, , , , , , Single
KO.KO15.Z4;Задвижка Z4;INT (1 byte);R;ИНР;1;35;&h00,3, &h10,2, &h40,1, &h50, 0;, , , , , , 
KO.KO15.Z4;Задвижка Z4;INT (1 byte);W;ANY;64;8;;, , , , , , Single
KO.KO13.Z5;Задвижка Z5;INT (1 byte);R;ИНР;1;40;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
KO.KO13.Z5;Задвижка Z5;INT (1 byte);W;ANY;53;8;;, , , , , , Single
KO.KO14.Z5;Задвижка Z5;INT (1 byte);R;ИНР;1;40;&h00,3, &h10,2, &h40,1, &h50, 0;, , , , , , 
KO.KO14.Z5;Задвижка Z5;INT (1 byte);W;ANY;58;8;;, , , , , , Single
KO.KO15.Z5;Задвижка Z5;INT (1 byte);R;ИНР;1;41;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
KO.KO15.Z5;Задвижка Z5;INT (1 byte);W;ANY;65;8;;, , , , , , Single
KO.KO16.Z5;Задвижка Z5;INT (1 byte);R;ИНР;1;41;&h00,3, &h10,2, &h40,1, &h50, 0;, , , , , , 
KO.KO16.Z5;Задвижка Z5;INT (1 byte);W;ANY;71;8;;, , , , , , Single
KO.KO14.Z3;Задвижка Z3;INT (1 byte);R;ИНР;1;42;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
KO.KO14.Z3;Задвижка Z3;INT (1 byte);W;ANY;56;8;;, , , , , , Single
KO.KO14.Z4;Задвижка Z4;INT (1 byte);R;ИНР;1;42;&h00,3, &h10,2, &h40,1, &h50, 0;, , , , , , 
KO.KO14.Z4;Задвижка Z4;INT (1 byte);W;ANY;57;8;;, , , , , , Single
KO.KO16.Z3;Задвижка Z3;INT (1 byte);R;ИНР;1;43;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
