tag_full_name;description;data_type;direction;algoblock_type;algoblock_address;algoblock_offset;selector_mask_nzone;modbus_address
skv2.DI3;ПЗэ1/1;INT (1 byte);Read;ИНР;1;72;;328
skv2.DI3.DI_1;Открыто;BOOL (1 bit);Read;ИНР;1;72;&h01;328
skv2.DI3.DI_2;Движение;BOOL (1 bit);Read;ИНР;1;72;&h02;328
skv2.DI3.DI_3;Резерв;BOOL (1 bit);Read;ИНР;1;72;&h04;328
skv2.DI3.DI_4;Резерв;BOOL (1 bit);Read;ИНР;1;72;&h08;328
skv2.DI3.DI_5;Резерв;BOOL (1 bit);Read;ИНР;1;72;&h10;328
skv2.DI3.DI_6;Резерв;BOOL (1 bit);Read;ИНР;1;72;&h20;328
skv2.DI3.DI_7;Резерв;BOOL (1 bit);Read;ИНР;1;72;&h40;328
skv2.DI3.DI_8;Резерв;BOOL (1 bit);Read;ИНР;1;72;&h80;328
skv2.DI4;ПЗэ4/1;INT (1 byte);Read;ИНР;1;76;;332
skv2.DI4.DI_1;Открыто;BOOL (1 bit);Read;ИНР;1;76;&h01;332
skv2.DI4.DI_2;Движение;BOOL (1 bit);Read;ИНР;1;76;&h02;332
skv2.DI4.DI_3;Резерв;BOOL (1 bit);Read;ИНР;1;76;&h04;332
skv2.DI4.DI_4;Резерв;BOOL (1 bit);Read;ИНР;1;76;&h08;332
skv2.DI4.DI_5;Резерв;BOOL (1 bit);Read;ИНР;1;76;&h10;332
skv2.DI4.DI_6;Резерв;BOOL (1 bit);Read;ИНР;1;76;&h20;332
skv2.DI4.DI_7;Резерв;BOOL (1 bit);Read;ИНР;1;76;&h40;332
skv2.DI4.DI_8;Резерв;BOOL (1 bit);Read;ИНР;1;76;&h80;332
skv2.DI5;ПЗэ4/2;INT (1 byte);Read;ИНР;1;80;;336
skv2.DI5.DI_1;Открыто;BOOL (1 bit);Read;ИНР;1;80;&h01;336
skv2.DI5.DI_2;Движение;BOOL (1 bit);Read;ИНР;1;80;&h02;336
skv2.DI5.DI_3;Резерв;BOOL (1 bit);Read;ИНР;1;80;&h04;336
skv2.DI5.DI_4;Резерв;BOOL (1 bit);Read;ИНР;1;80;&h08;336
skv2.DI5.DI_5;Резерв;BOOL (1 bit);Read;ИНР;1;80;&h10;336
skv2.DI5.DI_6;Резерв;BOOL (1 bit);Read;ИНР;1;80;&h20;336
