tag_full_name;description;data_type;direction;ab_type;ab_addr;ab_off;selector;other
ctp7.N2(DD-1);Мото/час за прошедшие сутки;INT (4 bytes);R;ИНР;2;44;;1, 0, , , , , 
ctp7.N2(MM);Мото/час за текущий мес.;INT (4 bytes);R;ИНР;2;48;;1, 0, , , , , 
ctp7.N2(MM-1);Мото/час за прошедший мес.;INT (4 bytes);R;ИНР;2;52;;1, 0, , , , , 
ctp7.N2(YY);Мото/час за текущий год;INT (4 bytes);R;ИНР;2;56;;1, 0, , , , , 
ctp7.N2(YY-1);Мото/час за прошедший год;INT (4 bytes);R;ИНР;2;60;;1, 0, , , , , 
ctp7.N3(HH);Мото/час за текущий час;INT (4 bytes);R;ИНР;2;64;;1, 0, , , , , 
ctp7.N3(HH-1);Мото/час за прошедший час;INT (4 bytes);R;ИНР;2;68;;1, 0, , , , , 
ctp7.N3(DD);Мото/час за текущие сутки;INT (4 bytes);R;ИНР;2;72;;1, 0, , , , , 
ctp7.N3(DD-1);Мото/час за прошедшие сутки;INT (4 bytes);R;ИНР;2;76;;1, 0, , , , , 
ctp7.N3(MM);Мото/час за текущий мес.;INT (4 bytes);R;ИНР;2;80;;1, 0, , , , , 
ctp7.N3(MM-1);Мото/час за прошедший мес.;INT (4 bytes);R;ИНР;2;84;;1, 0, , , , , 
ctp7.N3(YY);Мото/час за текущий год;INT (4 bytes);R;ИНР;2;88;;1, 0, , , , , 
ctp7.N3(YY-1);Мото/час за прошедший год;INT (4 bytes);R;ИНР;2;92;;1, 0, , , , , 
ctp7.N4(HH);Мото/час за текущий час;INT (4 bytes);R;ИНР;2;96;;1, 0, , , , , 
ctp7.N4(HH-1);Мото/час за прошедший час;INT (4 bytes);R;ИНР;2;100;;1, 0, , , , , 
ctp7.N4(DD);Мото/час за текущие сутки;INT (4 bytes);R;ИНР;2;104;;1, 0, , , , , 
ctp7.N4(DD-1);Мото/час за прошедшие сутки;INT (4 bytes);R;ИНР;2;108;;1, 0, , , , , 
ctp7.N4(MM);Мото/час за текущий мес.;INT (4 bytes);R;ИНР;2;112;;1, 0, , , , , 
ctp7.N4(MM-1);Мото/час за прошедший мес.;INT (4 bytes);R;ИНР;2;116;;1, 0, , , , , 
ctp7.N4(YY);Мото/час за текущий год;INT (4 bytes);R;ИНР;2;120;;1, 0, , , , , 
ctp7.N4(YY-1);Мото/час за прошедший год;INT (4 bytes);R;ИНР;2;124;;1, 0, , , , , 
ctp7.N1S(DD);Мото/час за текущие сутки;FLOAT (4 bytes);R;ИНР;2;132;;1, 0, , , , , 
ctp7.N1S(DD-1);Мото/час за прошедшие сутки;FLOAT (4 bytes);R;ИНР;2;136;;1, 0, , , , , 
ctp7.N1S(MM);Мото/час за текущий мес.;FLOAT (4 bytes);R;ИНР;2;140;;1, 0, , , , , 
ctp7.N1S(MM-1);Мото/час за прошедший мес.;FLOAT (4 bytes);R;ИНР;2;144;;1, 0, , , , , 
ctp7.N1S(YY);Мото/час за текущий год;FLOAT (4 bytes);R;ИНР;2;148;;1, 0, , , , , 
ctp7.N1S(YY-1);Мото/час за прошедший год;FLOAT (4 bytes);R;ИНР;2;152;;1, 0, , , , , 
ctp7.N2S(DD);Мото/час за текущие сутки;FLOAT (4 bytes);R;ИНР;2;160;;1, 0, , , , , 
ctp7.N2S(DD-1);Мото/час за прошедшие сутки;FLOAT (4 bytes);R;ИНР;2;164;;1, 0, , , , , 
ctp7.N2S(MM);Мото/час за текущий мес.;FLOAT (4 bytes);R;ИНР;2;168;;1, 0, , , , , 
ctp7.N2S(MM-1);Мото/час за прошедший мес.;FLOAT (4 bytes);R;ИНР;2;172;;1, 0, , , , , 
ctp7.N2S(YY);Мото/час за текущий год;FLOAT (4 bytes);R;ИНР;2;176;;1, 0, , , , , 
ctp7.N2S(YY-1);Мото/час за прошедший год;FLOAT (4 bytes);R;ИНР;2;180;;1, 0, , , , , 
ctp7.N3S(DD);Мото/час за текущие сутки;FLOAT (4 bytes);R;ИНР;2;188;;1, 0, , , , , 
ctp7.N3S(DD-1);Мото/час за прошедшие сутки;FLOAT (4 bytes);R;ИНР;2;192;;1, 0, , , , , 
ctp7.N3S(MM);Мото/час за текущий мес.;FLOAT (4 bytes);R;ИНР;2;196;;1, 0, , , , , 
ctp7.N3S(MM-1);Мото/час за прошедший мес.;FLOAT (4 bytes);R;ИНР;2;200;;1, 0, , , , , 
ctp7.N3S(YY);Мото/час за текущий год;FLOAT (4 bytes);R;ИНР;2;204;;1, 0, , , , , 
ctp7.N3S(YY-1);Мото/час за прошедший год;FLOAT (4 bytes);R;ИНР;2;208;;1, 0, , , , , 
ctp7.N4S(DD);Мото/час за текущие сутки;FLOAT (4 bytes);R;ИНР;2;216;;1, 0, , , , , 
ctp7.N4S(DD-1);Мото/час за прошедшие сутки;FLOAT (4 bytes);R;ИНР;2;220;;1, 0, , , , , 
ctp7.N4S(MM);Мото/час за текущий мес.;FLOAT (4 bytes);R;ИНР;2;224;;1, 0, , , , , 
ctp7.N4S(MM-1);Мото/час за прошедший мес.;FLOAT (4 bytes);R;ИНР;2;228;;1, 0, , , , , 
ctp7.N4S(YY);Мото/час за текущий год;FLOAT (4 bytes);R;ИНР;2;232;;1, 0, , , , , 
ctp7.N4S(YY-1);Мото/час за прошедший год;FLOAT (4 bytes);R;ИНР;2;236;;1, 0, , , , , 
