tag_full_name;description;data_type;direction;algoblock_type;algoblock_address;algoblock_offset;selector_mask_nzone;modbus_address
okt.DI5.DI_6;Резерв;BOOL (1 bit);Read;ИНР;1;80;&h20;336
okt.DI5.DI_7;Резерв;BOOL (1 bit);Read;ИНР;1;80;&h40;336
okt.DI5.DI_8;Резерв;BOOL (1 bit);Read;ИНР;1;80;&h80;336
okt.DI6;КШэ1;INT (1 byte);Read;ИНР;1;84;;340
okt.DI6.DI_1;Открыто;BOOL (1 bit);Read;ИНР;1;84;&h01;340
okt.DI6.DI_2;Движение;BOOL (1 bit);Read;ИНР;1;84;&h02;340
okt.DI6.DI_3;Резерв;BOOL (1 bit);Read;ИНР;1;84;&h04;340
okt.DI6.DI_4;Резерв;BOOL (1 bit);Read;ИНР;1;84;&h08;340
okt.DI6.DI_5;Резерв;BOOL (1 bit);Read;ИНР;1;84;&h10;340
okt.DI6.DI_6;Резерв;BOOL (1 bit);Read;ИНР;1;84;&h20;340
okt.DI6.DI_7;Резерв;BOOL (1 bit);Read;ИНР;1;84;&h40;340
okt.DI6.DI_8;Резерв;BOOL (1 bit);Read;ИНР;1;84;&h80;340
okt.DI7;КШэ2/1;INT (1 byte);Read;ИНР;1;88;;344
okt.DI7.DI_1;Открыто;BOOL (1 bit);Read;ИНР;1;88;&h01;344
okt.DI7.DI_2;Движение;BOOL (1 bit);Read;ИНР;1;88;&h02;344
okt.DI7.DI_3;Резерв;BOOL (1 bit);Read;ИНР;1;88;&h04;344
okt.DI7.DI_4;Резерв;BOOL (1 bit);Read;ИНР;1;88;&h08;344
okt.DI7.DI_5;Резерв;BOOL (1 bit);Read;ИНР;1;88;&h10;344
okt.DI7.DI_6;Резерв;BOOL (1 bit);Read;ИНР;1;88;&h20;344
okt.DI7.DI_7;Резерв;BOOL (1 bit);Read;ИНР;1;88;&h40;344
okt.DI7.DI_8;Резерв;BOOL (1 bit);Read;ИНР;1;88;&h80;344
okt.DI8;КШэ2/2;INT (1 byte);Read;ИНР;1;92;;348
okt.DI8.DI_1;Открыто;BOOL (1 bit);Read;ИНР;1;92;&h01;348
okt.DI8.DI_2;Движение;BOOL (1 bit);Read;ИНР;1;92;&h02;348
okt.DI8.DI_3;Резерв;BOOL (1 bit);Read;ИНР;1;92;&h04;348
okt.DI8.DI_4;Резерв;BOOL (1 bit);Read;ИНР;1;92;&h08;348
okt.DI8.DI_5;Резерв;BOOL (1 bit);Read;ИНР;1;92;&h10;348
okt.DI8.DI_6;Резерв;BOOL (1 bit);Read;ИНР;1;92;&h20;348
okt.DI8.DI_7;Резерв;BOOL (1 bit);Read;ИНР;1;92;&h40;348
okt.DI8.DI_8;Резерв;BOOL (1 bit);Read;ИНР;1;92;&h80;348
okt.DI10;КШэ2/3;INT (1 byte);Read;ИНР;1;96;;352
okt.DI10.DI_1;Открыто;BOOL (1 bit);Read;ИНР;1;96;&h01;352
okt.DI10.DI_2;Движение;BOOL (1 bit);Read;ИНР;1;96;&h02;352
okt.DI10.DI_3;Резерв;BOOL (1 bit);Read;ИНР;1;96;&h04;352
okt.DI10.DI_4;Резерв;BOOL (1 bit);Read;ИНР;1;96;&h08;352
okt.DI10.DI_5;Резерв;BOOL (1 bit);Read;ИНР;1;96;&h10;352
okt.DI10.DI_6;Резерв;BOOL (1 bit);Read;ИНР;1;96;&h20;352
okt.DI10.DI_7;Резерв;BOOL (1 bit);Read;ИНР;1;96;&h40;352
okt.DI10.DI_8;Резерв;BOOL (1 bit);Read;ИНР;1;96;&h80;352
okt.DI11;КШэ2/4;INT (1 byte);Read;ИНР;1;100;;356
okt.DI11.DI_1;Открыто;BOOL (1 bit);Read;ИНР;1;100;&h01;356
okt.DI11.DI_2;Движение;BOOL (1 bit);Read;ИНР;1;100;&h02;356
okt.DI11.DI_3;Резерв;BOOL (1 bit);Read;ИНР;1;100;&h04;356
okt.DI11.DI_4;Резерв;BOOL (1 bit);Read;ИНР;1;100;&h08;356
okt.DI12;КШэ3/1;INT (1 byte);Read;ИНР;1;104;;360
okt.DI12.DI_1;Открыто;BOOL (1 bit);Read;ИНР;1;104;&h01;360
okt.DI12.DI_2;Движение;BOOL (1 bit);Read;ИНР;1;104;&h02;360
okt.DI12.DI_3;Резерв;BOOL (1 bit);Read;ИНР;1;104;&h04;360
okt.DI12.DI_4;Резерв;BOOL (1 bit);Read;ИНР;1;104;&h08;360
okt.DI13;КШэ3/2;INT (1 byte);Read;ИНР;1;108;;364
okt.DI13.DI_1;Открыто;BOOL (1 bit);Read;ИНР;1;108;&h01;364
okt.DI13.DI_2;Движение;BOOL (1 bit);Read;ИНР;1;108;&h02;364
