tag_full_name;description;data_type;direction;ab_type;ab_addr;ab_off;selector;other
sev.DD3;Уровень башни;FLOAT (4 bytes);R;ИНР;1;24;;1, 0, , 0, 100, , 
sev.E2;Уровень Е2;FLOAT (4 bytes);R;ИНР;1;28;;10, 0, , 0, 180, , 
sev.E3;Уровень Е3;FLOAT (4 bytes);R;ИНР;1;32;;10, 0, , 0, 180, , 
sev.Hz_H2;Частота ПЧ Н2;FLOAT (4 bytes);R;ИНР;1;40;;1, 0, , 0, 100, , 
sev.Hz_H3;Частота ПЧ Н3;FLOAT (4 bytes);R;ИНР;1;44;;1, 0, , 0, 100, , 
sev.V_FE1;Объём FE1;FLOAT (4 bytes);R;ИНР;1;48;;1, 0, , 0, 100, , 
sev.V_FE2;Объём FE2;FLOAT (4 bytes);R;ИНР;1;52;;1, 0, , 0, 100, , 
sev.V_FE3;Объём FE3;FLOAT (4 bytes);R;ИНР;1;56;;1, 0, , 0, 100, , 
sev.V_FE4;Объём FE4;FLOAT (4 bytes);R;ИНР;1;60;;1, 0, , 0, 100, , 
sev.DI1;Насос НА2;INT (1 byte);R;ИНР;1;64;;, , , , , , 
sev.DI1.DI_1;Включен;BOOL (1 bit);R;ИНР;1;64;&h01;, , , , , , 
sev.DI1.DI_2;Авария;BOOL (1 bit);R;ИНР;1;64;&h02;, , , , , , 
sev.DI1.DI_3;Резерв;BOOL (1 bit);R;ИНР;1;64;&h04;, , , , , , 
sev.DI1.DI_4;Резерв;BOOL (1 bit);R;ИНР;1;64;&h08;, , , , , , 
sev.DI1.DI_5;Резерв;BOOL (1 bit);R;ИНР;1;64;&h10;, , , , , , 
sev.DI1.DI_6;Резерв;BOOL (1 bit);R;ИНР;1;64;&h20;, , , , , , 
sev.DI1.DI_7;Резерв;BOOL (1 bit);R;ИНР;1;64;&h40;, , , , , , 
sev.DI1.DI_8;Резерв;BOOL (1 bit);R;ИНР;1;64;&h80;, , , , , , 
sev.DI2;Насос НА3;INT (1 byte);R;ИНР;1;68;;, , , , , , 
sev.DI2.DI_1;Включен;BOOL (1 bit);R;ИНР;1;68;&h01;, , , , , , 
sev.DI2.DI_2;Авария;BOOL (1 bit);R;ИНР;1;68;&h02;, , , , , , 
sev.DI2.DI_3;Резерв;BOOL (1 bit);R;ИНР;1;68;&h04;, , , , , , 
sev.DI2.DI_4;Резерв;BOOL (1 bit);R;ИНР;1;68;&h08;, , , , , , 
sev.DI2.DI_5;Резерв;BOOL (1 bit);R;ИНР;1;68;&h10;, , , , , , 
sev.DI2.DI_6;Резерв;BOOL (1 bit);R;ИНР;1;68;&h20;, , , , , , 
sev.DI2.DI_7;Резерв;BOOL (1 bit);R;ИНР;1;68;&h40;, , , , , , 
sev.DI2.DI_8;Резерв;BOOL (1 bit);R;ИНР;1;68;&h80;, , , , , , 
sev.DI3;ПЗэ1;INT (1 byte);R;ИНР;1;72;;, , , , , , 
sev.DI3.DI_1;Открыто;BOOL (1 bit);R;ИНР;1;72;&h01;, , , , , , 
sev.DI3.DI_2;Движение;BOOL (1 bit);R;ИНР;1;72;&h02;, , , , , , 
sev.DI3.DI_3;Резерв;BOOL (1 bit);R;ИНР;1;72;&h04;, , , , , , 
sev.DI3.DI_4;Резерв;BOOL (1 bit);R;ИНР;1;72;&h08;, , , , , , 
sev.DI3.DI_5;Резерв;BOOL (1 bit);R;ИНР;1;72;&h10;, , , , , , 
sev.DI3.DI_6;Резерв;BOOL (1 bit);R;ИНР;1;72;&h20;, , , , , , 
sev.DI3.DI_7;Резерв;BOOL (1 bit);R;ИНР;1;72;&h40;, , , , , , 
sev.DI3.DI_8;Резерв;BOOL (1 bit);R;ИНР;1;72;&h80;, , , , , , 
sev.DI4;ПЗэ4;INT (1 byte);R;ИНР;1;76;;, , , , , , 
sev.DI4.DI_1;Открыто;BOOL (1 bit);R;ИНР;1;76;&h01;, , , , , , 
sev.DI4.DI_2;Движение;BOOL (1 bit);R;ИНР;1;76;&h02;, , , , , , 
sev.DI4.DI_3;Резерв;BOOL (1 bit);R;ИНР;1;76;&h04;, , , , , , 
