tag_full_name;description;data_type;direction;ab_type;ab_addr;ab_off;selector;other
mkBG.H4_o;Задв H4 откр;BOOL (1 bit);R;ИНР;0;136;&h08;, , , , , , 
mkBG.H5_o;Задв H5 откр;BOOL (1 bit);R;ИНР;0;136;&h10;, , , , , , 
mkBG.H6_o;Задв H6 откр;BOOL (1 bit);R;ИНР;0;136;&h20;, , , , , , 
mkBG.H7_o;Задв H7 откр;BOOL (1 bit);R;ИНР;0;136;&h40;, , , , , , 
mkBG.H8_o;Задв H8 откр;BOOL (1 bit);R;ИНР;0;136;&h80;, , , , , , 
mkBG.H9_o;Задв H9 откр;BOOL (1 bit);R;ИНР;0;137;&h01;, , , , , , 
mkBG.H10_o;Задв H10 откр;BOOL (1 bit);R;ИНР;0;137;&h02;, , , , , , 
mkBG.B1_o;Задв B1 откр;BOOL (1 bit);R;ИНР;0;140;&h01;, , , , , , 
mkBG.B2_o;Задв B2 откр;BOOL (1 bit);R;ИНР;0;140;&h02;, , , , , , 
mkBG.B3_o;Задв B3 откр;BOOL (1 bit);R;ИНР;0;140;&h04;, , , , , , 
mkBG.B4_o;Задв B4 откр;BOOL (1 bit);R;ИНР;0;140;&h08;, , , , , , 
mkBG.B5_o;Задв B5 откр;BOOL (1 bit);R;ИНР;0;140;&h10;, , , , , , 
mkBG.B6_o;Задв B6 откр;BOOL (1 bit);R;ИНР;0;140;&h20;, , , , , , 
mkBG.B7_o;Задв B7 откр;BOOL (1 bit);R;ИНР;0;140;&h40;, , , , , , 
mkBG.B8_o;Задв B8 откр;BOOL (1 bit);R;ИНР;0;140;&h80;, , , , , , 
mkBG.B9_o;Задв B9 откр;BOOL (1 bit);R;ИНР;0;141;&h01;, , , , , , 
mkBG.B10_o;Задв B10 откр;BOOL (1 bit);R;ИНР;0;141;&h02;, , , , , , 
mkBG.KH13_o;Задв KH13 откр;BOOL (1 bit);R;ИНР;0;144;&h01;, , , , , , 
mkBG.KH1_o;Задв KH1 откр;BOOL (1 bit);R;ИНР;0;144;&h02;, , , , , , 
mkBG.KH2_o;Задв KH2 откр;BOOL (1 bit);R;ИНР;0;144;&h04;, , , , , , 
mkBG.KH3_o;Задв KH3 откр;BOOL (1 bit);R;ИНР;0;144;&h08;, , , , , , 
mkBG.KH4_o;Задв KH4 откр;BOOL (1 bit);R;ИНР;0;144;&h10;, , , , , , 
mkBG.KH5_o;Задв KH5 откр;BOOL (1 bit);R;ИНР;0;144;&h20;, , , , , , 
mkBG.KB1_o;Задв KB1 откр;BOOL (1 bit);R;ИНР;0;144;&h40;, , , , , , 
mkBG.KB2_o;Задв KB2 откр;BOOL (1 bit);R;ИНР;0;144;&h80;, , , , , , 
mkBG.KB3_o;Задв KB3 откр;BOOL (1 bit);R;ИНР;0;145;&h01;, , , , , , 
mkBG.KB4_o;Задв KB4 откр;BOOL (1 bit);R;ИНР;0;145;&h02;, , , , , , 
mkBG.KB5_o;Задв KB5 откр;BOOL (1 bit);R;ИНР;0;145;&h04;, , , , , , 
mkBG.KH6_o;Задв KH6 откр;BOOL (1 bit);R;ИНР;0;145;&h08;, , , , , , 
mkBG.KB6_o;Задв KB6 откр;BOOL (1 bit);R;ИНР;0;145;&h10;, , , , , , 
mkBG.KX1_o;резерв;BOOL (1 bit);R;ИНР;0;145;&h20;, , , , , , 
mkBG.KX2_o;резерв;BOOL (1 bit);R;ИНР;0;145;&h40;, , , , , , 
mkBG.KX3_o;резерв;BOOL (1 bit);R;ИНР;0;145;&h80;, , , , , , 
mkBG.KH12_o;Задв KH12 откр;BOOL (1 bit);R;ИНР;0;148;&h01;, , , , , , 
mkBG.KH7_o;Задв KH7 откр;BOOL (1 bit);R;ИНР;0;148;&h02;, , , , , , 
mkBG.KH8_o;Задв KH8 откр;BOOL (1 bit);R;ИНР;0;148;&h04;, , , , , , 
mkBG.KH9_o;Задв KH9 откр;BOOL (1 bit);R;ИНР;0;148;&h08;, , , , , , 
mkBG.KH10_o;Задв KH10 откр;BOOL (1 bit);R;ИНР;0;148;&h10;, , , , , , 
mkBG.KH11_o;Задв KH11 откр;BOOL (1 bit);R;ИНР;0;148;&h20;, , , , , , 
mkBG.KB7_o;Задв KB7 откр;BOOL (1 bit);R;ИНР;0;148;&h40;, , , , , , 
mkBG.KB8_o;Задв KB8 откр;BOOL (1 bit);R;ИНР;0;148;&h80;, , , , , , 
mkBG.KB9_o;Задв KB9 откр;BOOL (1 bit);R;ИНР;0;149;&h01;, , , , , , 
