tag_full_name;description;data_type;direction;ab_type;ab_addr;ab_off;selector;other
MKF.MKF1-3.PF1;Задвижка ПФ1;INT (1 byte);W;ANY;52;8;;, , , , , , Single
MKF.MKF1-3.PF2;Задвижка ПФ2;INT (1 byte);R;ИНР;1;64;&h00,3, &h10,2, &h40,1, &h50, 0;, , , , , , 
MKF.MKF1-3.PF2;Задвижка ПФ2;INT (1 byte);W;ANY;53;8;;, , , , , , Single
MKF.MKF4-9.PF3;Задвижка ПФ3;INT (1 byte);R;ИНР;1;65;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
MKF.MKF4-9.PF3;Задвижка ПФ3;INT (1 byte);W;ANY;56;8;;, , , , , , Single
MKF.MKF4-9.PF4;Задвижка ПФ4;INT (1 byte);R;ИНР;1;65;&h00,3, &h10,2, &h40,1, &h50, 0;, , , , , , 
MKF.MKF4-9.PF4;Задвижка ПФ4;INT (1 byte);W;ANY;57;8;;, , , , , , Single
MKF.MKF1-3.OTX1;Задвижка OTX1;INT (1 byte);R;ИНР;1;66;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
MKF.MKF1-3.OTX1;Задвижка OTX1;INT (1 byte);W;ANY;54;8;;, , , , , , Single
MKF.MKF1-3.OTX2;Задвижка OTX2;INT (1 byte);R;ИНР;1;66;&h00,3, &h10,2, &h40,1, &h50, 0;, , , , , , 
MKF.MKF1-3.OTX2;Задвижка OTX2;INT (1 byte);W;ANY;55;8;;, , , , , , Single
MKF.MKF4-9.OTX3;Задвижка OTX3;INT (1 byte);R;ИНР;1;67;&h00,3, &h01,2, &h04,1, &h05, 0;, , , , , , 
MKF.MKF4-9.OTX3;Задвижка OTX3;INT (1 byte);W;ANY;58;8;;, , , , , , Single
MKF.MKF4-9.OTX4;Задвижка OTX4;INT (1 byte);R;ИНР;1;67;&h00,3, &h10,2, &h40,1, &h50, 0;, , , , , , 
MKF.MKF4-9.OTX4;Задвижка OTX4;INT (1 byte);W;ANY;59;8;;, , , , , , Single
